,id,aim,results,dis.1,dis.2,dis.3,dis.4,dis.5,dis.6,measure,est.1,est.2,est.3,est.4,est.5,est.6,found.by.ref,inc.screen,inc.final,reason,inc.start,inc.stop,design,study.pop,study.site,mig.def1,mig.def2,mig.def3,mig.def4,rsn.migr,ethni,note
52,Harstad_2010b,assess follow-up of tb screening results in an asylum seekers population,only 1% of asylum seekers with a diagnosis of ltbi recieved treatment and long delays were observed until treatment was initiated.,tb,,,,,,,,,,,,,0,1,1,NA,2005,2006,cohort,,Norway,4,NA,NA,NA,0,2,
53,Harstad_2014,intervention to improve follow-up after tb diagnosis,the intervention improved the follow-up ,tb,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
54,Heidrich_2014,prevalence of hbv and hcv in a migrant population,the prevalence of both hbv and hcv were around 2%. There was a lack of knowledge about transmission,hbv,hcv,,,,,prev,0.02234,0.01926,,,,,0,1,1,NA,2010,2012,cross-sectional,,Germany,0,NA,NA,NA,0,2,also includes stratification on educational level and year of immigration and family status. Includes prevalence of vaccination
55,Hollo_2016,identify patterns in country of origin and corss-border movement of TB within EU,Germany and Italy reported the most TB cases from other EU countries. Poland and Romania gave rise to the largest population of migrant TB cases within EU,tb,,,,,,,,,,,,,0,0,0,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,
56,Ikram_2015,all-cause mortality and main causes of death in different migrant populations living in EU,most migrant populations had higher mortality from infectious diseases (tb and hiv). Cancer mortality generally low execpt liver and stomach cancer for specific regions. CVD and diabetes mortality in general higher.,tb,hiv,,,,,,,,,,,,0,1,1,NA,NA,NA,register based cohort,,EU,1,NA,NA,NA,0,2,very heterogenic pattern
57,Ioannis_2010,prevalence of hbv and hcv and alcoholic liver disease and nonalcoholic fatty liver disease,immigrants from EU-countries or neighbouring countries had higher prevalence of hbv and hcv infections. Immigrants from Africa and Asia had low prevalence for both,,,,hbv; hcv,,,,,,,,,,0,0,0,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,
58,Janahi_2014,prevalence of hbv in Bahrain,overall prevalence was 0.58%. the prevalence was higher among immigrants from India Pakistan Bangladesh Philippines Indonesia and Ethiopia,,,,hbv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
59,Jazwa_2015,cost-benefit comparison of overseas hbv screening programmes,overseas screening is cost-effective compared to vaccination only strategy,,,,hbv,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
60,Kandasamy_2014,risk of adverse obstretric and perinatal outcomes among refugee women,asylum seeker women had higher risk of delivery by Cesarian section as well as being hiv-positive; homeless and delayed access to prenatal care ,,,,hiv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
61,Karki_ 2014,evaulate screening programmes for newly arrived migrants to EU,most common screening programme for tb and for targeted populations,,,,several,,,,,,,,,,0,1,1,NA,2014,2014,survey,,EU,0,NA,NA,NA,0,0,
62,Khan_2011,prevalence of hbv among internally displaced persons in Pakistan,hbv were highly prevalent in the study population,,,,hbv,,,,,,,,,,1,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
63,Kimbrough_2012,assess tb in crisis-affected populations,there was a strong correlation between crisis in a country and the tb incidence or prevalence; equally for populations affected by crisis,,,,tb,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
64,Kodmon_2016,quantify and characterise migration-related TB to EU countries,an overall increase in the percentage of migrant TB cases was driven by decrease of native TB cases. In more than half of the migrant cases the country of origin were India; Pakistan; Somalia; Morocco; Turkey; Russia; Bangladesh; Philippines,tb,,,,,,,,,,,,,0,1,1,NA,2007,2013,surveillance,,EU,1,NA,NA,NA,0,2,
65,Kowatsh-Beyer_2013,prevalence of tst-positive and degree of attendance and follow-up in a migrant population,the proportion of tst-positive were highest in refugees from Africa (53.7%) and East Asia (75%). Of 115 refugees referred to follow-up 53.1% presented to the clinic. Refugees from Near East/South Asia were least likely to attend follow-up. ,ltbi,,,,,,prev,0.45535,,,,,,0,1,1,NA,2008,2008,surveillance,,USA,2,NA,NA,NA,0,2,
66,Kruijshaar_2009,time trends in extrapulmonal tb,association of extrapulmonal tb and born outside UK,,,,,,,,,,,,,,1,1,0,1,1999,2006,surveillance,,UK,1,NA,NA,NA,0,0,
67,Kulwicki_2015,PTSD in arab refugee women,a high percentage of arab refugee women had some form of PTSD,,,,mentalHealth,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
68,Ladhani_2014,prevalence of childhood chronic hbv infection,50% of cases were immigrants,,,,hbv,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
69,Leslie_2010,test of hypothesis that G6PD defiency is protective against vivax malaria,G6PD is gives protection against vivax malaria infection,,,,malaria,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
70,Levy_2010,prevalence of hbv and risk behaviour and vaccination among Lationo and Asian immigrants,Asian immigrants had the highest prevalence of both prior hbv infection and chronic infection. Latino immigrants had the lowest prevalence vaccination,,,,hbv,,,,,,,,,,1,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
