,id,aim,results,dis.1,dis.2,dis.3,dis.4,dis.5,dis.6,measure,est.1,est.2,est.3,est.4,est.5,est.6,found.by.ref,inc.screen,inc.final,reason,inc.start,inc.stop,design,study.pop,study.site,mig.def1,mig.def2,mig.def3,mig.def4,rsn.migr,ethni,note
1,Ahmed_2007,time trends of tb co-infection hiv,association of tb co-infection hiv and non-UK region of origin,hiv,,,,,,,,,,,,,0,1,0,1,1999,2003,surveillance,,UK,1,NA,NA,NA,0,2,
2,Akkerman_2016,propose a model for tb screening,the proposed model could easily be implemented as a flexible way to screen for tb in newly arrived migrants,tb,,,,,,,,,,,,,0,0,0,3,NA,NA,commentary,,Netherlands,0,NA,NA,NA,NA,0,
3,Alawieh_2014,development of the number of cases of  leishmaniasis in Lebanon,outbreak of leishmaniasis possibly due to influx of Syrian refugees,leishmaniasis,,,,,,,,,,,,,1,1,1,NA,2001,2014,case-series,,Lebanon,2,NA,NA,NA,0,1,
4,Aldridge_2014,yield of pre-entry screening programmes for active and latent tb ,targeting high-prevalence countries and pre-entry screening should be considered,tb,,,,,,,,,,,,,0,1,1,NA,1980,2014,review,,,1,2,3,4,1,0,
5,Angeletti_2016,describe the health of 48 Syrian asylum seekers,all were negative for hbv and hcv and hiv. Several unusual gram-negative bacteria species were isolated and ESBL/CPO and MRSA bacteria were found.,hiv,hbv,hcv,,,,prev,0,0,0,,,,0,1,1,NA,2015,2015,case-series,,Italy,4,NA,NA,NA,0,0,
6,Araj_2016,incidence of new tb cases in Lebanon,the incidence were decreasing from 1999 to 2006 and increasing thereafter. The increase were mainly due to influx of Ethiopian and Syrian refugees,tb,,,,,,incid,0.0002,,,,,,0,1,1,NA,1999,2013,register based cohort,,Lebanon,1,NA,NA,NA,0,0,
7,Banfield_2012,investigate association between IGRA performance and age and co-morbidities in resettled African refugees,there was a significant and independent association of both age and number of comorbidities and IGRA performance,tb,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
8,Banks_2016,evaluation of hbv screening of pregnant women,high hbv prevalence among migrants and refugees ,hbv,,,,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
9,Barnett_2012,describe the population and health issues in migrants that recieved health screening,most frequent diseases were ltbi and eosinophilia and hbv. Among the rare diseases were infectious tb and malaria and soil-transmitted helminths,ltbi,tb,hbv,hiv,,,prev,0.43211,0.00372,0.06378,0.00552,,,0,1,1,NA,1997,2009,surveillance,,USA,5,NA,NA,NA,0,1,
10,Bassari_2010,explore knowledge about malaria transmission and protection in a Afghan refugee population,most afghan refugees did not use nets for self-protection. ,malaria,,,,,,,,,,,,,1,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
11,Basseri_2012,characterisation of sleeping patterns among populations at risk of anopheline biting,most afghan refugees did not use nets for self-protection. ,malaria,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
12,Bennett_2014,prevalence of LTBI in refugees,high prevalence in refugees from sub-Saharan Africa but much less likely to initiate treatment than refugees from Middle East,ltbi,hiv,,,,,prev,0.20985,0.00069,,,,,0,1,1,NA,2010,2012,surveillance,,SanDiego,2,NA,NA,NA,0,2,Although the population is extracted from the refugee Health Electronic Information System the article does not provide information on how an individual is included in this database (WHO-guidelines?). Tests with QuantiFERON-TB Gold In-Tube
13,Birukila_2013,describe demography and hiv risk behaviour among African migrants and refugees,risk factors were unprotected sex and having several sexual partners and previous STIs and lack of voluntary hiv testing,hiv,,,,,,,,,,,,,0,1,0,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,
14,Blewett_2013,examine the health literacy on TB among immigrants by global region of birth and helath insurance status,adults from asia had the lowest TB health literacy and adults from Europe the highest. Uninsured immigrants had lower TB health literacy ,tb,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
15,Bozorgmehr_2016,review of health status and medical care among refugees and asylum seekers in Germany,most evidence on mental health and infectious diseases. Least evidence on chronic diseases and childhood illnesses and maternity health care,several,,,,,,,,,,,,,0,1,1,NA,1990,2014,review,,Germany,2,4,NA,NA,0,0,
16,Bradby_2015,review of policies to improve health care for asylum seekers and refugees in EU,very limited evidence. Most evidence on maternity and mental illness. The nature and length of the asylum process influence health. Recomendations to improve access and to examine the heatlh effects of different phases of the asylum process,several,,,,,,,,,,,,,0,1,1,NA,NA,NA,review,,,2,4,NA,NA,0,0,
17,Burgazli_2014,prevalence of hbv among Turkish immigrants,Turkish immigrants in Germany have a higher seroprevalence of hbv than the general population in Germany,hbv,,,,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
18,Camburn_2012,status of malaria cases in Auckland,36 cases of malaria in 34 patients. 11 were residents of New Zealand . 11 were refugees and 10 were migrants,malaria,,,,,,,,,,,,,0,1,0,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,
19,Carten_2013,comparison of basic characteristics of foreign-born and US-born hiv patients,foreign-born were younger more were women and heterosexual and less were substance useres,hiv,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
20,CDC_2010,describe health profile of resettled Iraqi refugees ,14.1% had ltbi and 24.6% were obese and 15.2% had hypertension. The prevailing disease group were noninfectious,hbv,hiv,ltbi,syphilis,giardia_intestinalis,entamoeba_histolytica,prev,0.00736,0.00365,0.14056,0.02552,0.031,0.012,0,1,1,NA,2007,2009,surveillance,,USA,2,NA,NA,NA,0,1,reports on both communicable and noncommunicable diseases
21,Chemaitelly_2015,characterise HCV epidemiology in the Levant,HCV prevalence in the general population were 0.2% in Iraq and Lebanon; 0.3% in Jordan; 0.4% in Syria. Genotype 1 and 4 were dominant,hcv,,,,,,,,,,,,,1,0,0,3,NA,2015,review,,Levant,NA,NA,NA,NA,NA,NA,the study aim is not concerned with migrant populations
22,Chemtob_2015,compare pre- and post-entry tb screening of people migrating to Israel,systematic screening of active tb should be considered for migrants from high-prevalence countries to low-prevalence ,,,,,,,,,,,,,,1,0,0,3,NA,NA,commentary,,Israel,1,NA,NA,NA,0,0,a commentary to the article by Aldridge et al.
23,Clark_2007,assess the prevalence of tb and hiv and hbv in asylum seekers and refugees in UK,few studies have been conducted on the diseases of interest. Prevalence per 1000 were found to be: tb 1.33 to 10.42; hbv from 57 to 118; hiv 38.19,tb,hbv,hiv,,,,prev,,,,,,,0,1,1,NA,1985,2005,review,,UK,2,4,NA,NA,0,0,
24,Cochrane_2015,estimate hbv prevalence in a migrant population,prevalence in the study population were generally lower than that of the country of origin and lower than elsewhere reported and below the set cost effectiveness threshold for general screening. Thus only targeted screening are recommended,hbv,,,,,,,,,,,,,0,0,0,1,2006,2014,surveillance,,UK,1,NA,NA,NA,0,2,
25,Coenen_2016,describe the clinical impact of hv screening programmes for migrants from China,hbv screening in Chinese migrants may have several positive concequences,hbv,,,,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
26,Contini_2012,demographic and clinical characteristics of immigrants and local hbv infected patients,most immigrants came from East Europe were younger more had hdv coinfection,hbv,,,,,,,,,,,,,0,1,1,NA,1997,2009,case-control,,Italy,0,NA,NA,NA,0,1,
27,Cookson_2015,case study of public health strategy for TB among Syrian refugees in Jordan,a high incidence rate was found. A partnership between local and international health organisations were formed with the potential to improve diagnoses and treatment,tb,,,,,,incid,0.00012,,,,,,0,1,1,NA,2014,2014,case-study,,,2,NA,NA,NA,1,1,
